postalcode,FIPS,date,time,Total Stations,Has Fuel:Has Power,Has Fuel:No Power,No Fuel:Has Power,No Power:No Fuel,PercentageOperational,raw_visit_counts
7030,22057,9/21/21,14:23,1,1,0,0,0,100,185
7030,22109,9/21/21,14:23,1,1,0,0,0,100,131
7030,22057,9/21/21,22:12,1,1,0,0,0,100,185
7030,22109,9/21/21,22:12,1,1,0,0,0,100,131
7030,22057,9/22/21,6:12,1,1,0,0,0,100,185
7030,22109,9/22/21,6:12,1,1,0,0,0,100,131
7030,22057,9/22/21,14:12,1,1,0,0,0,100,185
7030,22109,9/22/21,14:12,1,1,0,0,0,100,131
7030,22057,9/22/21,22:12,1,1,0,0,0,100,185
7030,22109,9/22/21,22:12,1,1,0,0,0,100,131
7030,22057,9/23/21,6:13,1,1,0,0,0,100,185
7030,22109,9/23/21,6:13,1,1,0,0,0,100,131
7030,22057,9/23/21,14:12,1,1,0,0,0,100,185
7030,22109,9/23/21,14:12,1,1,0,0,0,100,131
7030,22057,9/23/21,22:12,1,1,0,0,0,100,185
7030,22109,9/23/21,22:12,1,1,0,0,0,100,131
7030,22057,9/24/21,6:13,1,1,0,0,0,100,185
7030,22109,9/24/21,6:13,1,1,0,0,0,100,131
7030,22057,9/24/21,14:12,1,1,0,0,0,100,185
7030,22109,9/24/21,14:12,1,1,0,0,0,100,131
7030,22057,9/24/21,22:12,1,1,0,0,0,100,185
7030,22109,9/24/21,22:12,1,1,0,0,0,100,131
7030,22057,9/25/21,6:12,1,1,0,0,0,100,185
7030,22109,9/25/21,6:12,1,1,0,0,0,100,131
7030,22057,9/25/21,14:12,1,1,0,0,0,100,185
7030,22109,9/25/21,14:12,1,1,0,0,0,100,131
7030,22057,9/25/21,22:12,1,1,0,0,0,100,185
7030,22109,9/25/21,22:12,1,1,0,0,0,100,131
7030,22057,9/26/21,6:12,1,1,0,0,0,100,185
7030,22109,9/26/21,6:12,1,1,0,0,0,100,131
7030,22057,9/26/21,14:12,1,1,0,0,0,100,185
7030,22109,9/26/21,14:12,1,1,0,0,0,100,131
7030,22057,9/26/21,22:12,1,1,0,0,0,100,185
7030,22109,9/26/21,22:12,1,1,0,0,0,100,131
7030,22057,9/27/21,6:12,1,1,0,0,0,100,185
